onet_name,onetsoccode,occ1990dd,occ1990dd_title,occ,acs,acs_title,_merge_acs,_merge_occdd
"Insulation Workers, Mechanical",47-2132.00,593.0,Insulation workers,6400,472130,Insulation Workers,3,3
"Insulation Workers, Floor, Ceiling, and Wall",47-2131.00,593.0,Insulation workers,6400,472130,Insulation Workers,3,3
"Painters, Construction and Maintenance",47-2141.00,579.0,"Painters, construction and maintenance",6420,472141,"Painters, Construction and Maintenance",3,3
Paperhangers,47-2142.00,583.0,Paperhangers,6430,472142,Paperhangers,3,3
Pipe Fitters and Steamfitters,47-2152.01,585.0,"Plumbers, pipe fitters, and steamfitters",6440,472150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",3,3
Pipelayers,47-2151.00,585.0,"Plumbers, pipe fitters, and steamfitters",6440,472150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",3,3
Plumbers,47-2152.02,585.0,"Plumbers, pipe fitters, and steamfitters",6440,472150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",3,3
Plasterers and Stucco Masons,47-2161.00,584.0,Plasterers,6460,472161,Plasterers and Stucco Masons,3,3
Reinforcing Iron and Rebar Workers,47-2171.00,597.0,Structural metal workers,6500,472171,Reinforcing Iron and Rebar Workers,3,3
Roofers,47-2181.00,595.0,Roofers,6515,472181,Roofers,3,3
Sheet Metal Workers,47-2211.00,653.0,Sheet metal workers,6520,472211,Sheet Metal Workers,3,3
Structural Iron and Steel Workers,47-2221.00,597.0,Structural metal workers,6530,472221,Structural Iron and Steel Workers,3,3
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47-3014.00,866.0,"Helpers, surveyors",6600,473010,"Helpers, Construction Trades",3,3
Helpers--Carpenters,47-3012.00,866.0,"Helpers, surveyors",6600,473010,"Helpers, Construction Trades",3,3
Helpers--Electricians,47-3013.00,866.0,"Helpers, surveyors",6600,473010,"Helpers, Construction Trades",3,3
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-3015.00,866.0,"Helpers, surveyors",6600,473010,"Helpers, Construction Trades",3,3
Helpers--Roofers,47-3016.00,866.0,"Helpers, surveyors",6600,473010,"Helpers, Construction Trades",3,3
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-3011.00,866.0,"Helpers, surveyors",6600,473010,"Helpers, Construction Trades",3,3
Construction and Building Inspectors,47-4011.00,35.0,Construction inspectors,6660,474011,Construction and Building Inspectors,3,3
Elevator Installers and Repairers,47-4021.00,543.0,Elevator installers and repairers,6700,474021,Elevator Installers and Repairers,3,3
Fence Erectors,47-4031.00,599.0,Misc. construction and related occupations,6710,474031,Fence Erectors,3,3
Hazardous Materials Removal Workers,47-4041.00,593.0,Insulation workers,6720,474041,Hazardous Materials Removal Workers,3,3
Highway Maintenance Workers,47-4051.00,869.0,Construction laborers,6730,474051,Highway Maintenance Workers,3,3
Rail-Track Laying and Maintenance Equipment Operators,47-4061.00,889.0,"Laborers, freight, stock, and material handlers, n.e.c.",6740,474061,Rail-Track Laying and Maintenance Equipment Operators,3,3
Septic Tank Servicers and Sewer Pipe Cleaners,47-4071.00,599.0,Misc. construction and related occupations,6765,47XXXX,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners",3,3
Solar Thermal Installers and Technicians,47-4099.02,599.0,Misc. construction and related occupations,6765,47XXXX,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners",3,3
Weatherization Installers and Technicians,47-4099.03,599.0,Misc. construction and related occupations,6765,47XXXX,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners",3,3
Segmental Pavers,47-4091.00,599.0,Misc. construction and related occupations,6765,47XXXX,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners",3,3
Solar Photovoltaic Installers,47-2231.00,599.0,Misc. construction and related occupations,6765,47XXXX,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners",3,3
"Rotary Drill Operators, Oil and Gas",47-5012.00,614.0,Drillers of oil wells,6800,4750YY,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",3,3
"Derrick Operators, Oil and Gas",47-5011.00,614.0,Drillers of oil wells,6800,4750YY,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",3,3
"Service Unit Operators, Oil, Gas, and Mining",47-5013.00,614.0,Drillers of oil wells,6800,4750YY,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",3,3
"Rock Splitters, Quarry",47-5051.00,614.0,Drillers of oil wells,6800,4750YY,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",3,3
"Roustabouts, Oil and Gas",47-5071.00,614.0,Drillers of oil wells,6800,4750YY,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",3,3
"Earth Drillers, Except Oil and Gas",47-5021.00,598.0,Drillers of earth,6820,475021,"Earth Drillers, Except Oil and Gar",3,3
"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5031.00,615.0,Explosives workers,6830,475031,"Explosives Workers, Ordnance Handling Experts, and Blasters",3,3
Mine Cutting and Channeling Machine Operators,47-5042.00,616.0,Miners,6840,475040,Mining Machine Operators,3,3
Continuous Mining Machine Operators,47-5041.00,616.0,Miners,6840,475040,Mining Machine Operators,3,3
"Roof Bolters, Mining",47-5061.00,617.0,Other mining occupations,6940,4750XX,Miscellaneous extraction workers including roof bolters and helpers,3,3
Helpers--Extraction Workers,47-5081.00,617.0,Other mining occupations,6940,4750XX,Miscellaneous extraction workers including roof bolters and helpers,3,3
"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011.00,503.0,Supervisors of mechanics and repairers,7000,491011,"First-Line Supervisors of Mechanics, Installers, and Repairers",3,3
"Computer, Automated Teller, and Office Machine Repairers",49-2011.00,525.0,Repairers of data processing equipment,7010,492011,"Computer, Automated Teller, and Office Machine Repairers",3,3
"Radio, Cellular, and Tower Equipment Installers and Repairers",49-2021.00,527.0,Telecom and line installers and repairers,7020,492020,Radio and Telecommunications Equipment Installers and Repairers,3,3
Radio Mechanics,49-2021.01,527.0,Telecom and line installers and repairers,7020,492020,Radio and Telecommunications Equipment Installers and Repairers,3,3
"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022.00,527.0,Telecom and line installers and repairers,7020,492020,Radio and Telecommunications Equipment Installers and Repairers,3,3
Avionics Technicians,49-2091.00,533.0,"Repairers of electrical equipment, n.e.c.",7030,492091,Avionics Technicians,3,3
"Electric Motor, Power Tool, and Related Repairers",49-2092.00,533.0,"Repairers of electrical equipment, n.e.c.",7040,492092,"Electric Motor, Power Tool, and Related Repairers",3,3
"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093.00,523.0,Repairers of industrial electrical equipment,7100,49209X,"Electrical and electronics repairers, transportation equipment, and industrial and utility",3,3
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095.00,523.0,Repairers of industrial electrical equipment,7100,49209X,"Electrical and electronics repairers, transportation equipment, and industrial and utility",3,3
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094.00,523.0,Repairers of industrial electrical equipment,7100,49209X,"Electrical and electronics repairers, transportation equipment, and industrial and utility",3,3
"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096.00,533.0,"Repairers of electrical equipment, n.e.c.",7110,492096,"Electronic Equipment Installers and Repairers, Motor Vehicles",3,3
Electronic Home Entertainment Equipment Installers and Repairers,49-2097.00,523.0,Repairers of industrial electrical equipment,7120,492097,Electronic Home Entertainment Equipment Installers and Repairers,3,3
Security and Fire Alarm Systems Installers,49-2098.00,575.0,Electricians,7130,492098,Security and Fire Alarm Systems Installers,3,3
Aircraft Mechanics and Service Technicians,49-3011.00,508.0,Aircraft mechanics,7140,493011,Aircraft Mechanics and Service Technicians,3,3
Automotive Body and Related Repairers,49-3021.00,514.0,Auto body repairers,7150,493021,Automotive Body and Related Repairers,3,3
Automotive Glass Installers and Repairers,49-3022.00,514.0,Auto body repairers,7160,493022,Automotive Glass Installers and Repairers,3,3
Automotive Specialty Technicians,49-3023.02,505.0,Automobile mechanics and repairers,7200,493023,Automotive Service Technicians and Mechanics,3,3
Automotive Master Mechanics,49-3023.01,505.0,Automobile mechanics and repairers,7200,493023,Automotive Service Technicians and Mechanics,3,3
Bus and Truck Mechanics and Diesel Engine Specialists,49-3031.00,507.0,"Bus, truck, and stationary engine mechanics",7210,493031,Bus and Truck Mechanics and Diesel Engine Specialists,3,3
Farm Equipment Mechanics and Service Technicians,49-3041.00,516.0,Heavy equipement and farm equipment mechanics,7220,493040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,3,3
Rail Car Repairers,49-3043.00,516.0,Heavy equipement and farm equipment mechanics,7220,493040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,3,3
"Mobile Heavy Equipment Mechanics, Except Engines",49-3042.00,516.0,Heavy equipement and farm equipment mechanics,7220,493040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,3,3
Motorboat Mechanics and Service Technicians,49-3051.00,509.0,Small engine repairers,7240,493050,Small Engine Mechanics,3,3
Outdoor Power Equipment and Other Small Engine Mechanics,49-3053.00,509.0,Small engine repairers,7240,493050,Small Engine Mechanics,3,3
Motorcycle Mechanics,49-3052.00,509.0,Small engine repairers,7240,493050,Small Engine Mechanics,3,3
Tire Repairers and Changers,49-3093.00,885.0,Garage and service station related occupations,7260,493090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",3,3
Recreational Vehicle Service Technicians,49-3092.00,885.0,Garage and service station related occupations,7260,493090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",3,3
Bicycle Repairers,49-3091.00,885.0,Garage and service station related occupations,7260,493090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",3,3
"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012.00,539.0,Repairers of mechanical controls and valves,7300,499010,Control and Valve Installers and Repairers,3,3
Mechanical Door Repairers,49-9011.00,539.0,Repairers of mechanical controls and valves,7300,499010,Control and Valve Installers and Repairers,3,3
Heating and Air Conditioning Mechanics and Installers,49-9021.01,534.0,"Heating, air conditioning, and refrigeration mechanics",7315,499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3,3
Refrigeration Mechanics and Installers,49-9021.02,534.0,"Heating, air conditioning, and refrigeration mechanics",7315,499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3,3
Home Appliance Repairers,49-9031.00,526.0,Repairers of household appliances and power tools,7320,499031,Home Appliance Repairers,3,3
Industrial Machinery Mechanics,49-9041.00,518.0,Industrial machinery repairers,7330,49904X,,3,3
"Refractory Materials Repairers, Except Brickmasons",49-9045.00,518.0,Industrial machinery repairers,7330,49904X,,3,3
"Maintenance and Repair Workers, General",49-9071.00,549.0,"Mechanics and repairers, n.e.c.",7340,499071,"Maintenance and Repair Workers, General",3,3
"Maintenance Workers, Machinery",49-9043.00,519.0,Machinery maintenance occupations,7350,499043,"Maintenance Workers, Machinery",3,3
Millwrights,49-9044.00,544.0,Millwrights,7360,499044,Millwrights,3,3
Electrical Power-Line Installers and Repairers,49-9051.00,577.0,Electric power installers and repairers,7410,499051,Electrical Power-Line Installers and Repairers,3,3
Telecommunications Line Installers and Repairers,49-9052.00,527.0,Telecom and line installers and repairers,7420,499052,Telecommunications Line Installers and Repairers,3,3
Camera and Photographic Equipment Repairers,49-9061.00,535.0,Precision instrument and equipment repairers,7430,499060,Precision Instrument and Equipment Repairers,3,3
Musical Instrument Repairers and Tuners,49-9063.00,535.0,Precision instrument and equipment repairers,7430,499060,Precision Instrument and Equipment Repairers,3,3
Medical Equipment Repairers,49-9062.00,535.0,Precision instrument and equipment repairers,7430,499060,Precision Instrument and Equipment Repairers,3,3
Watch Repairers,49-9064.00,535.0,Precision instrument and equipment repairers,7430,499060,Precision Instrument and Equipment Repairers,3,3
"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091.00,549.0,"Mechanics and repairers, n.e.c.",7510,499091,"Coin, Vending, and Amusement Machine Servicers and Repairers",3,3
Locksmiths and Safe Repairers,49-9094.00,536.0,Locksmiths and safe repairers,7540,499094,Locksmiths and Safe Repairers,3,3
Manufactured Building and Mobile Home Installers,49-9095.00,549.0,"Mechanics and repairers, n.e.c.",7550,499095,Manufactured Building and Mobile Home Installers,3,3
Riggers,49-9096.00,549.0,"Mechanics and repairers, n.e.c.",7560,499096,Riggers,3,3
"Helpers--Installation, Maintenance, and Repair Workers",49-9098.00,865.0,"Helpers, constructions",7610,499098,"Helpers--Installation, Maintenance, and Repair Workers",3,3
Wind Turbine Service Technicians,49-9081.00,549.0,"Mechanics and repairers, n.e.c.",7630,49909X,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Wwitch Repairers",3,3
Signal and Track Switch Repairers,49-9097.00,549.0,"Mechanics and repairers, n.e.c.",7630,49909X,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Wwitch Repairers",3,3
"Fabric Menders, Except Garment",49-9093.00,549.0,"Mechanics and repairers, n.e.c.",7630,49909X,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Wwitch Repairers",3,3
Commercial Divers,49-9092.00,549.0,"Mechanics and repairers, n.e.c.",7630,49909X,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Wwitch Repairers",3,3
Geothermal Technicians,49-9099.01,549.0,"Mechanics and repairers, n.e.c.",7630,49909X,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Wwitch Repairers",3,3
First-Line Supervisors of Production and Operating Workers,51-1011.00,628.0,Production supervisors or foremen,7700,511011,First-Line Supervisors of Production and Operating Workers,3,3
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011.00,785.0,Assemblers of electrical equipment,7710,512011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",3,3
Electromechanical Equipment Assemblers,51-2023.00,785.0,Assemblers of electrical equipment,7720,512020,"Electrical, Electronics, and Electromechanical Assemblers",3,3
Electrical and Electronic Equipment Assemblers,51-2022.00,785.0,Assemblers of electrical equipment,7720,512020,"Electrical, Electronics, and Electromechanical Assemblers",3,3
"Coil Winders, Tapers, and Finishers",51-2021.00,785.0,Assemblers of electrical equipment,7720,512020,"Electrical, Electronics, and Electromechanical Assemblers",3,3
Engine and Other Machine Assemblers,51-2031.00,785.0,Assemblers of electrical equipment,7730,512031,Engine and Other Machine Assemblers,3,3
Structural Metal Fabricators and Fitters,51-2041.00,597.0,Structural metal workers,7740,512041,Structural Metal Fabricators and Fitters,3,3
Fiberglass Laminators and Fabricators,51-2091.00,785.0,Assemblers of electrical equipment,7750,512090,Miscellaneous Assemblers and Fabricators,3,3
Team Assemblers,51-2092.00,785.0,Assemblers of electrical equipment,7750,512090,Miscellaneous Assemblers and Fabricators,3,3
Timing Device Assemblers and Adjusters,51-2093.00,785.0,Assemblers of electrical equipment,7750,512090,Miscellaneous Assemblers and Fabricators,3,3
Bakers,51-3011.00,687.0,Bakers,7800,513011,Bakers,3,3
Slaughterers and Meat Packers,51-3023.00,686.0,Butchers and meat cutters,7810,513020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",3,3
Butchers and Meat Cutters,51-3021.00,686.0,Butchers and meat cutters,7810,513020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",3,3
"Meat, Poultry, and Fish Cutters and Trimmers",51-3022.00,686.0,Butchers and meat cutters,7810,513020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",3,3
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091.00,763.0,Food roasting and baking machine operators,7830,513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",3,3
Food Batchmakers,51-3092.00,688.0,Batch food makers,7840,513092,Food Batchmakers,3,3
Food Cooking Machine Operators and Tenders,51-3093.00,779.0,"Machine operators, n.e.c.",7850,513093,Food Cooking Machine Operators and Tenders,3,3
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-4012.00,233.0,Programmers of numerically controlled machine tools,7900,514010,Computer Control Programmers and Operators,3,3
"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-4011.00,233.0,Programmers of numerically controlled machine tools,7900,514010,Computer Control Programmers and Operators,3,3
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021.00,755.0,Extruding and forming machine operators,7920,514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",3,3
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022.00,713.0,Forge and hammer operators,7930,514022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",3,3
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023.00,707.0,"Rollers, roll hands, and finishers of metal",7940,514023,"Rolling Machine Setters, Operators, and Tenders, metal and Plastic",3,3
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031.00,706.0,Punching and stamping press operatives,7950,514031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",3,3
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032.00,708.0,Drilling and boring machine operators,7960,514032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,3
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033.00,709.0,"Grinding, abrading, buffing, and polishing workers",8000,514033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,3
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034.00,703.0,Lathe and turning machine operatives,8010,514034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,3
Machinists,51-4041.00,637.0,Machinists,8030,514041,Machinists,3,3
"Pourers and Casters, Metal",51-4052.00,766.0,"Furnance, kiln, and oven operators, apart from food",8040,514050,"Metal Furnace Operators, Tenders, Pourers, and Casters",3,3
Metal-Refining Furnace Operators and Tenders,51-4051.00,766.0,"Furnance, kiln, and oven operators, apart from food",8040,514050,"Metal Furnace Operators, Tenders, Pourers, and Casters",3,3
"Model Makers, Metal and Plastic",51-4061.00,645.0,"Patternmakers and model makers, metal and plastic",8060,514060,"Model Makers and Patternmakers, Metal and Plastic",3,3
"Patternmakers, Metal and Plastic",51-4062.00,645.0,"Patternmakers and model makers, metal and plastic",8060,514060,"Model Makers and Patternmakers, Metal and Plastic",3,3
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072.00,719.0,Molders and casting machine operators,8100,514070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",3,3
Foundry Mold and Coremakers,51-4071.00,719.0,Molders and casting machine operators,8100,514070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",3,3
Tool and Die Makers,51-4111.00,634.0,Tool and die makers and die setters,8130,514111,Tool and Die Makers,3,3
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122.00,783.0,"Welders, solderers, and metal cutters",8140,514120,"Welding, Soldering, and Brazing Workers",3,3
"Welders, Cutters, and Welder Fitters",51-4121.06,783.0,"Welders, solderers, and metal cutters",8140,514120,"Welding, Soldering, and Brazing Workers",3,3
Solderers and Brazers,51-4121.07,783.0,"Welders, solderers, and metal cutters",8140,514120,"Welding, Soldering, and Brazing Workers",3,3
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191.00,724.0,Heat treating equipment operators,8150,514191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",3,3
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193.00,723.0,Metal platers,8200,514193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",3,3
"Tool Grinders, Filers, and Sharpeners",51-4194.00,644.0,Precision grinders and fitters,8210,514194,"Tool Grinders, Filers, and Sharpeners",3,3
"Layout Workers, Metal and Plastic",51-4192.00,684.0,"Miscellaneous precision workers, n.e.c.",8220,514XXX,"Miscellaneous metal workers and plastic workers including milling and planing machine setters, and multiple machine tool setters, and lay-out workers",3,3
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035.00,684.0,"Miscellaneous precision workers, n.e.c.",8220,514XXX,"Miscellaneous metal workers and plastic workers including milling and planing machine setters, and multiple machine tool setters, and lay-out workers",3,3
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081.00,684.0,"Miscellaneous precision workers, n.e.c.",8220,514XXX,"Miscellaneous metal workers and plastic workers including milling and planing machine setters, and multiple machine tool setters, and lay-out workers",3,3
Prepress Technicians and Workers,51-5111.00,736.0,Typesetters and compositors,8250,515111,Prepress Technicians and Workers,3,3
Printing Press Operators,51-5112.00,734.0,"Bookbinders and printing machine operators, n.e.c.",8255,515112,Printing Machine Operators,3,3
Print Binding and Finishing Workers,51-5113.00,734.0,"Bookbinders and printing machine operators, n.e.c.",8256,515113,Print Binding and Finishing Workers,3,3
Laundry and Dry-Cleaning Workers,51-6011.00,408.0,Laundry and dry cleaning workers,8300,516011,Laundry and Dry-Cleaning Workers,3,3
"Pressers, Textile, Garment, and Related Materials",51-6021.00,747.0,Clothing pressing machine operators,8310,516021,"Pressers, Textile, Garment, and Related Materials",3,3
Sewing Machine Operators,51-6031.00,744.0,Textile sewing machine operators,8320,516031,Sewing Machine Operators,3,3
Shoe and Leather Workers and Repairers,51-6041.00,669.0,Shoe and leather workers and repairers,8330,516041,Shoe and Leather Workers and Repairers,3,3
Shoe Machine Operators and Tenders,51-6042.00,745.0,Shoemaking machine operators,8340,516042,Shoe Machine Operators and Tenders,3,3
"Tailors, Dressmakers, and Custom Sewers",51-6052.00,666.0,"Tailors, dressmakers, and sewers",8350,516050,"Tailors, Dressmakers, and Sewers",3,3
"Sewers, Hand",51-6051.00,666.0,"Tailors, dressmakers, and sewers",8350,516050,"Tailors, Dressmakers, and Sewers",3,3
"Textile Cutting Machine Setters, Operators, and Tenders",51-6062.00,743.0,Textile cutting and dyeing machine operators,8400,51606X,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders",3,3
Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061.00,743.0,Textile cutting and dyeing machine operators,8400,51606X,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders",3,3
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063.00,739.0,"Knitters, loopers, and toppers textile operatives",8410,516063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",3,3
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064.00,738.0,Winding and twisting textile and apparel operatives,8420,516064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",3,3
Upholsterers,51-6093.00,668.0,Upholsterers,8450,516093,Upholsterers,3,3
Fabric and Apparel Patternmakers,51-6092.00,749.0,Miscellanious textile machine operators,8460,51609X,"Miscellaneous textile, apparel, and furnishings workers except upholsterers",3,3
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091.00,749.0,Miscellanious textile machine operators,8460,51609X,"Miscellaneous textile, apparel, and furnishings workers except upholsterers",3,3
Cabinetmakers and Bench Carpenters,51-7011.00,657.0,Cabinetmakers and bench carpeters,8500,517011,Cabinetmakers and Bench Carpenters,3,3
Furniture Finishers,51-7021.00,658.0,Furniture and wood finishers,8510,517021,Furniture Finishers,3,3
"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041.00,727.0,Sawing machine operators and sawyers,8530,517041,"Sawing Machine Setters, Operators, and Tenders, Wood",3,3
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00,729.0,"Nail, tacking, shaping and joining mach ops (wood)",8540,517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",3,3
"Model Makers, Wood",51-7031.00,733.0,Misc. woodworking machine operators,8550,5170XX,Miscellaneous woodworkers including model makers and patternmakers,3,3
"Patternmakers, Wood",51-7032.00,733.0,Misc. woodworking machine operators,8550,5170XX,Miscellaneous woodworkers including model makers and patternmakers,3,3
Power Distributors and Dispatchers,51-8012.00,695.0,Power plant operators,8600,518010,"Power Plant Operators, Distributors, and Dispatchers",3,3
Nuclear Power Reactor Operators,51-8011.00,695.0,Power plant operators,8600,518010,"Power Plant Operators, Distributors, and Dispatchers",3,3
Power Plant Operators,51-8013.00,695.0,Power plant operators,8600,518010,"Power Plant Operators, Distributors, and Dispatchers",3,3
Stationary Engineers and Boiler Operators,51-8021.00,696.0,"Plant and system operators, stationary engineers",8610,518021,Stationary Engineers and Boiler Operators,3,3
Water and Wastewater Treatment Plant and System Operators,51-8031.00,694.0,Water and sewage treatment plant operators,8620,518031,Water and Wastewater Treatment Plant and System Operators,3,3
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093.00,699.0,Other plant and system operators,8630,518090,Miscellaneous Plant and System Operators,3,3
Gas Plant Operators,51-8092.00,699.0,Other plant and system operators,8630,518090,Miscellaneous Plant and System Operators,3,3
Hydroelectric Plant Technicians,51-8099.04,699.0,Other plant and system operators,8630,518090,Miscellaneous Plant and System Operators,3,3
Chemical Plant and System Operators,51-8091.00,699.0,Other plant and system operators,8630,518090,Miscellaneous Plant and System Operators,3,3
Biofuels Processing Technicians,51-8099.01,699.0,Other plant and system operators,8630,518090,Miscellaneous Plant and System Operators,3,3
Biomass Plant Technicians,51-8099.03,699.0,Other plant and system operators,8630,518090,Miscellaneous Plant and System Operators,3,3
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012.00,757.0,"Separating, filtering, and clarifying machine operators",8640,519010,"Chemical Processing Machine Setters, Operators, and Tenders",3,3
Chemical Equipment Operators and Tenders,51-9011.00,757.0,"Separating, filtering, and clarifying machine operators",8640,519010,"Chemical Processing Machine Setters, Operators, and Tenders",3,3
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021.00,756.0,Mixing and blending machine operators,8650,519020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",3,3
"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023.00,756.0,Mixing and blending machine operators,8650,519020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",3,3
"Grinding and Polishing Workers, Hand",51-9022.00,756.0,Mixing and blending machine operators,8650,519020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",3,3
"Cutters and Trimmers, Hand",51-9031.00,769.0,Slicing and cutting machine operators,8710,519030,Cutting Workers,3,3
"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,769.0,Slicing and cutting machine operators,8710,519030,Cutting Workers,3,3
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9041.00,755.0,Extruding and forming machine operators,8720,519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",3,3
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051.00,766.0,"Furnance, kiln, and oven operators, apart from food",8730,519051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",3,3
"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061.00,799.0,"Production checkers, graders, and sorters in manufacturing",8740,519061,"Inspectors, Testers, Sorters, Samplers, and Weighers",3,3
